HT,HPTS,HP,HW,HC,VT,VPTS,VP,VW,VC,RET
IND,8618,8765.311,0.579,0.512,ORL,8288,8450.805,0.415,0.354,1
LAC,8911,9900.701,0.579,0.622,BRK,8673,8806.689,0.415,0.244,1
NOP,8556,8793.823,0.579,0.415,BOS,8857,10525.549,0.415,0.646,1
NYK,8556,8710.459,0.579,0.378,DAL,8029,9366.25,0.415,0.402,1
SAS,8637,9263.841,0.579,0.744,MIA,8460,9595.928,0.415,0.5,1
UTA,8258,9223.688,0.579,0.622,MEM,8239,8914.511,0.415,0.524,-1
CLE,9048,11308.396,0.579,0.622,TOR,8762,8950.711,0.415,0.652,1
LAL,8575,8296.810,0.579,0.317,BRK,8673,8806.689,0.415,0.244,1
MIA,8460,9595.928,0.579,0.5,ATL,8459,8465.061,0.415,0.524,-1
MIN,8657,8256.684,0.579,0.378,CHA,8459,8465.061,0.415,0.524,-1
POR,8851,9765.196,0.579,0.518,CHI,8435,8133.815,0.415,0.5,-1
ATL,8459,8465.061,0.579,0.524,MIL,8497,8835.627,0.415,0.512,1
BOS,8857,10525.549,0.579,0.646,DAL,8029,9366.25,0.415,0.402,1
DEN,9161,9770.992,0.579,0.488,PHO,8831,7592.565,0.415,0.293,1
IND,8618,8765.311,0.579,0.512,CLE,9048,11308.396,0.415,0.622,1
LAC,8911,9900.701,0.579,0.622,MEM,8239,8914.511,0.415,0.524,-1
NYK,8556,8710.459,0.579,0.378,DET,8309,8439.212,0.415,0.451,1
OKC,8741,8478.88,0.579,0.573,HOU,9458,12003.932,0.415,0.671,1
ORL,8288,8450.805,0.579,0.354,NOP,8556,8793.823,0.415,0.415,1
PHI,8400,8660.148,0.579,0.341,WAS,8953,9280.232,0.415,0.573,1
SAC,8430,8270.836,0.579,0.39,SAS,8637,9263.841,0.415,0.744,-1
TOR,8762,8950.711,0.579,0.652,GSW,9503,11055.784,0.415,0.817,-1
HOU,9458,12003.932,0.579,0.671,POR,8851,9765.196,0.415,0.518,1
MIA,8460,9595.928,0.579,0.5,MIL,8497,8835.627,0.415,0.512,1
MIN,8657,8256.684,0.579,0.378,PHI,8400,8660.148,0.415,0.341,1
UTA,8258,9223.688,0.579,0.622,CHI,8435,8133.815,0.415,0.5,-1
WAS,8953,9280.232,0.579,0.573,NYK,8556,8710.459,0.415,0.378,1
BOS,8857,10525.549,0.579,0.646,GSW,9503,11055.784,0.415,0.817,-1
CHA,8857,10525.549,0.579,0.646,ATL,8459,8465.061,0.415,0.524,1
CLE,9048,11308.396,0.579,0.622,DET,8309,8439.212,0.415,0.451,1
DAL,8029,9366.25,0.579,0.402,MEM,8239,8914.511,0.415,0.524,-1
DEN,9161,9770.992,0.579,0.488,TOR,8762,8950.711,0.415,0.652,-1
IND,8618,8765.311,0.579,0.512,PHO,8831,7592.565,0.415,0.293,-1
LAL,8575,8296.810,0.579,0.317,SAS,8637,9263.841,0.415,0.744,-1
NOP,8556,8793.823,0.579,0.415,POR,8851,9765.196,0.415,0.518,1
OKC,8741,8478.88,0.579,0.573,BRK,8673,8806.689,0.415,0.244,1
SAC,8430,8270.836,0.579,0.39,LAC,8911,9900.701,0.415,0.622,-1
DET,8309,8439.212,0.579,0.451,BOS,8857,10525.549,0.415,0.646,-1
HOU,9458,12003.932,0.579,0.671,UTA,8258,9223.688,0.415,0.622,1
LAC,8911,9900.701,0.579,0.622,CHI,8435,8133.815,0.415,0.5,1
MEM,8239,8914.511,0.579,0.524,MIN,8657,8256.684,0.415,0.378,1
MIL,8497,8835.627,0.579,0.512,GSW,9503,11055.784,0.415,0.817,-1
NOP,8556,8793.823,0.579,0.415,CHA,9503,11055.784,0.415,0.817,1
ORL,8288,8450.805,0.579,0.354,DAL,8029,9366.25,0.415,0.402,1
PHI,8400,8660.148,0.579,0.341,PHO,8831,7592.565,0.415,0.293,1
WAS,8953,9280.232,0.579,0.573,MIA,8460,9595.928,0.415,0.5,-1
BRK,8673,8806.689,0.579,0.244,POR,8851,9765.196,0.415,0.518,-1
DEN,9161,9770.992,0.579,0.488,UTA,8258,9223.688,0.415,0.622,1
LAL,8575,8296.810,0.579,0.317,CHI,8435,8133.815,0.415,0.5,-1
NYK,8556,8710.459,0.579,0.378,ATL,8459,8465.061,0.415,0.524,1
OKC,8741,8478.88,0.579,0.573,IND,8618,8765.311,0.415,0.512,-1
SAC,8430,8270.836,0.579,0.39,TOR,8762,8950.711,0.415,0.652,1
CHA,8430,8270.836,0.579,0.39,MEM,8239,8914.511,0.415,0.524,-1
DET,8309,8439.212,0.579,0.451,HOU,9458,12003.932,0.415,0.671,-1
IND,8618,8765.311,0.579,0.512,GSW,9503,11055.784,0.415,0.817,-1
LAC,8911,9900.701,0.579,0.622,TOR,8762,8950.711,0.415,0.652,1
MIL,8497,8835.627,0.579,0.512,ORL,8288,8450.805,0.415,0.354,1
MIN,8657,8256.684,0.579,0.378,BOS,8857,10525.549,0.415,0.646,-1
PHI,8400,8660.148,0.579,0.341,MIA,8460,9595.928,0.415,0.5,1
SAS,8637,9263.841,0.579,0.744,DAL,8029,9366.25,0.415,0.402,1
WAS,8953,9280.232,0.579,0.573,PHO,8831,7592.565,0.415,0.293,1
ATL,8459,8465.061,0.579,0.524,NOP,8556,8793.823,0.415,0.415,-1
DEN,9161,9770.992,0.579,0.488,CHI,8435,8133.815,0.415,0.5,1
LAL,8575,8296.810,0.579,0.317,OKC,8741,8478.88,0.415,0.573,1
NYK,8556,8710.459,0.579,0.378,POR,8851,9765.196,0.415,0.518,1
BRK,8673,8806.689,0.579,0.244,BOS,8857,10525.549,0.415,0.646,-1
CHA,8673,8806.689,0.579,0.244,SAS,8637,9263.841,0.415,0.744,-1
CLE,9048,11308.396,0.579,0.622,POR,8851,9765.196,0.415,0.518,1
DAL,8029,9366.25,0.579,0.402,LAC,8911,9900.701,0.415,0.622,-1
DET,8309,8439.212,0.579,0.451,MIA,8460,9595.928,0.415,0.5,1
GSW,9503,11055.784,0.579,0.817,LAL,8575,8296.810,0.415,0.317,1
HOU,9458,12003.932,0.579,0.671,TOR,8762,8950.711,0.415,0.652,-1
IND,8618,8765.311,0.579,0.512,ATL,8459,8465.061,0.415,0.524,-1
NOP,8556,8793.823,0.579,0.415,MIN,8657,8256.684,0.415,0.378,1
ORL,8288,8450.805,0.579,0.354,PHO,8831,7592.565,0.415,0.293,-1
PHI,8400,8660.148,0.579,0.341,MEM,8239,8914.511,0.415,0.524,-1
SAC,8430,8270.836,0.579,0.39,OKC,8741,8478.88,0.415,0.573,1
UTA,8258,9223.688,0.579,0.622,DEN,9161,9770.992,0.415,0.488,1
BOS,8857,10525.549,0.579,0.646,SAS,8637,9263.841,0.415,0.744,-1
CLE,9048,11308.396,0.579,0.622,DAL,8029,9366.25,0.415,0.402,1
DEN,9161,9770.992,0.579,0.488,OKC,8741,8478.88,0.415,0.573,-1
DET,8309,8439.212,0.579,0.451,LAC,8911,9900.701,0.415,0.622,1
IND,8618,8765.311,0.579,0.512,BRK,8673,8806.689,0.415,0.244,1
LAL,8575,8296.810,0.579,0.317,GSW,9503,11055.784,0.415,0.817,-1
MEM,8239,8914.511,0.579,0.524,MIA,8460,9595.928,0.415,0.5,-1
MIL,8497,8835.627,0.579,0.512,TOR,8762,8950.711,0.415,0.652,-1
NYK,8556,8710.459,0.579,0.378,CHA,8762,8950.711,0.415,0.652,1
ORL,8288,8450.805,0.579,0.354,WAS,8953,9280.232,0.415,0.573,-1
PHI,8400,8660.148,0.579,0.341,CHI,8435,8133.815,0.415,0.5,-1
PHO,8831,7592.565,0.579,0.293,MIN,8657,8256.684,0.415,0.378,-1
POR,8851,9765.196,0.579,0.518,NOP,8556,8793.823,0.415,0.415,1
SAC,8430,8270.836,0.579,0.39,HOU,9458,12003.932,0.415,0.671,-1
UTA,8258,9223.688,0.579,0.622,ATL,8459,8465.061,0.415,0.524,1
CHA,8258,9223.688,0.579,0.622,NYK,8556,8710.459,0.415,0.378,1
GSW,9503,11055.784,0.579,0.817,MIN,8657,8256.684,0.415,0.378,1
MIA,8460,9595.928,0.579,0.5,MEM,8239,8914.511,0.415,0.524,-1
OKC,8741,8478.88,0.579,0.573,DET,8309,8439.212,0.415,0.451,1
WAS,8953,9280.232,0.579,0.573,SAS,8637,9263.841,0.415,0.744,-1
BRK,8673,8806.689,0.579,0.244,SAC,8430,8270.836,0.415,0.39,-1
DAL,8029,9366.25,0.579,0.402,NOP,8556,8793.823,0.415,0.415,1
IND,8618,8765.311,0.579,0.512,LAC,8911,9900.701,0.415,0.622,1
LAL,8575,8296.810,0.579,0.317,ATL,8459,8465.061,0.415,0.524,1
ORL,8288,8450.805,0.579,0.354,MIL,8497,8835.627,0.415,0.512,-1
PHI,8400,8660.148,0.579,0.341,CLE,9048,11308.396,0.415,0.622,-1
PHO,8831,7592.565,0.579,0.293,DEN,9161,9770.992,0.415,0.488,-1
POR,8851,9765.196,0.579,0.518,HOU,9458,12003.932,0.415,0.671,-1
GSW,9503,11055.784,0.579,0.817,ATL,8459,8465.061,0.415,0.524,1
MEM,8239,8914.511,0.579,0.524,CHA,8459,8465.061,0.415,0.524,-1
MIA,8460,9595.928,0.579,0.5,BOS,8857,10525.549,0.415,0.646,-1
MIN,8657,8256.684,0.579,0.378,UTA,8258,9223.688,0.415,0.622,-1
NYK,8556,8710.459,0.579,0.378,OKC,8741,8478.88,0.415,0.573,-1
TOR,8762,8950.711,0.579,0.652,PHI,8400,8660.148,0.415,0.341,1
WAS,8953,9280.232,0.579,0.573,SAC,8430,8270.836,0.415,0.39,1
BRK,8673,8806.689,0.579,0.244,LAC,8911,9900.701,0.415,0.622,1
CHA,8673,8806.689,0.579,0.244,DET,8309,8439.212,0.415,0.451,-1
MIL,8497,8835.627,0.579,0.512,CLE,9048,11308.396,0.415,0.622,1
NOP,8556,8793.823,0.579,0.415,LAL,8575,8296.810,0.415,0.317,1
SAS,8637,9263.841,0.579,0.744,ORL,8288,8450.805,0.415,0.354,-1
UTA,8258,9223.688,0.579,0.622,HOU,9458,12003.932,0.415,0.671,1
BOS,8857,10525.549,0.579,0.646,DET,8309,8439.212,0.415,0.451,-1
CHI,8435,8133.815,0.579,0.5,LAL,8575,8296.810,0.415,0.317,-1
DAL,8029,9366.25,0.579,0.402,SAS,8637,9263.841,0.415,0.744,-1
DEN,9161,9770.992,0.579,0.488,MIA,8460,9595.928,0.415,0.5,-1
MIN,8657,8256.684,0.579,0.378,NYK,8556,8710.459,0.415,0.378,-1
OKC,8741,8478.88,0.579,0.573,WAS,8953,9280.232,0.415,0.573,1
PHO,8831,7592.565,0.579,0.293,ATL,8459,8465.061,0.415,0.524,1
POR,8851,9765.196,0.579,0.518,IND,8618,8765.311,0.415,0.512,1
TOR,8762,8950.711,0.579,0.652,MEM,8239,8914.511,0.415,0.524,1
BRK,8673,8806.689,0.579,0.244,MIL,8497,8835.627,0.415,0.512,-1
CHA,8673,8806.689,0.579,0.244,DAL,8029,9366.25,0.415,0.402,1
CLE,9048,11308.396,0.579,0.622,LAC,8911,9900.701,0.415,0.622,-1
GSW,9503,11055.784,0.579,0.817,HOU,9458,12003.932,0.415,0.671,-1
MEM,8239,8914.511,0.579,0.524,ORL,8288,8450.805,0.415,0.354,1
UTA,8258,9223.688,0.579,0.622,MIA,8460,9595.928,0.415,0.5,-1
ATL,8459,8465.061,0.579,0.524,DET,8309,8439.212,0.415,0.451,-1
BOS,8857,10525.549,0.579,0.646,SAC,8430,8270.836,0.415,0.39,1
CHI,8435,8133.815,0.579,0.5,CLE,9048,11308.396,0.415,0.622,1
DEN,9161,9770.992,0.579,0.488,HOU,9458,12003.932,0.415,0.671,-1
NOP,8556,8793.823,0.579,0.415,LAC,8911,9900.701,0.415,0.622,-1
NYK,8556,8710.459,0.579,0.378,MIN,8657,8256.684,0.415,0.378,1
PHI,8400,8660.148,0.579,0.341,ORL,8288,8450.805,0.415,0.354,-1
SAS,8637,9263.841,0.579,0.744,WAS,8953,9280.232,0.415,0.573,1
TOR,8762,8950.711,0.579,0.652,LAL,8575,8296.810,0.415,0.317,1
CHA,8762,8950.711,0.579,0.652,MIN,8657,8256.684,0.415,0.378,-1
DAL,8029,9366.25,0.579,0.402,CHI,8435,8133.815,0.415,0.5,1
GSW,9503,11055.784,0.579,0.817,PHO,8831,7592.565,0.415,0.293,1
MEM,8239,8914.511,0.579,0.524,LAL,8575,8296.810,0.415,0.317,1
MIL,8497,8835.627,0.579,0.512,BRK,8673,8806.689,0.415,0.244,1
PHI,8400,8660.148,0.579,0.341,BOS,8857,10525.549,0.415,0.646,-1
POR,8851,9765.196,0.579,0.518,MIA,8460,9595.928,0.415,0.5,1
TOR,8762,8950.711,0.579,0.652,ATL,8459,8465.061,0.415,0.524,1
UTA,8258,9223.688,0.579,0.622,DEN,9161,9770.992,0.415,0.488,1
DET,8309,8439.212,0.579,0.451,ORL,8288,8450.805,0.415,0.354,-1
LAC,8911,9900.701,0.579,0.622,IND,8618,8765.311,0.415,0.512,-1
NYK,8556,8710.459,0.579,0.378,SAC,8430,8270.836,0.415,0.39,1
OKC,8741,8478.88,0.579,0.573,NOP,8556,8793.823,0.415,0.415,1
ATL,8459,8465.061,0.579,0.524,OKC,8741,8478.88,0.415,0.573,-1
BRK,8673,8806.689,0.579,0.244,WAS,8953,9280.232,0.415,0.573,-1
CHI,8435,8133.815,0.579,0.5,POR,8851,9765.196,0.415,0.518,-1
DAL,8029,9366.25,0.579,0.402,CHA,8851,9765.196,0.415,0.518,-1
GSW,9503,11055.784,0.579,0.817,IND,8618,8765.311,0.415,0.512,1
HOU,9458,12003.932,0.579,0.671,BOS,8857,10525.549,0.415,0.646,1
LAL,8575,8296.810,0.579,0.317,UTA,8258,9223.688,0.415,0.622,-1
MIL,8497,8835.627,0.579,0.512,SAS,8637,9263.841,0.415,0.744,-1
NOP,8556,8793.823,0.579,0.415,MEM,8239,8914.511,0.415,0.524,-1
PHI,8400,8660.148,0.579,0.341,DEN,9161,9770.992,0.415,0.488,-1
TOR,8762,8950.711,0.579,0.652,CLE,9048,11308.396,0.415,0.622,-1
DET,8309,8439.212,0.579,0.451,CHI,8435,8133.815,0.415,0.5,1
MEM,8239,8914.511,0.579,0.524,PHI,8400,8660.148,0.415,0.341,1
MIA,8460,9595.928,0.579,0.5,NYK,8556,8710.459,0.415,0.378,-1
MIN,8657,8256.684,0.579,0.378,SAS,8637,9263.841,0.415,0.744,-1
UTA,8258,9223.688,0.579,0.622,PHO,8831,7592.565,0.415,0.293,1
WAS,8953,9280.232,0.579,0.573,ORL,8288,8450.805,0.415,0.354,-1
ATL,8459,8465.061,0.579,0.524,MIA,8460,9595.928,0.415,0.5,1
BRK,8673,8806.689,0.579,0.244,DEN,9161,9770.992,0.415,0.488,1
CHA,8673,8806.689,0.579,0.244,DET,8309,8439.212,0.415,0.451,1
DAL,8029,9366.25,0.579,0.402,SAC,8430,8270.836,0.415,0.39,-1
HOU,9458,12003.932,0.579,0.671,LAL,8575,8296.810,0.415,0.317,1
LAC,8911,9900.701,0.579,0.622,GSW,9503,11055.784,0.415,0.817,-1
MIL,8497,8835.627,0.579,0.512,POR,8851,9765.196,0.415,0.518,1
NYK,8556,8710.459,0.579,0.378,CLE,9048,11308.396,0.415,0.622,-1
ORL,8288,8450.805,0.579,0.354,BOS,8857,10525.549,0.415,0.646,-1
PHO,8831,7592.565,0.579,0.293,IND,8618,8765.311,0.415,0.512,-1
