Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
New Orleans Pelicans,90,Los Angeles Clippers,111,H
Atlanta Hawks,116,Memphis Grizzlies,101,V
Miami Heat,97,New York Knicks,78,V
Detroit Pistons,87,Oklahoma City Thunder,103,H
Milwaukee Bucks,90,Orlando Magic,114,H
Golden State Warriors,135,Phoenix Suns,116,V
Minnesota Timberwolves,101,Sacramento Kings,91,V
Brooklyn Nets,88,Cleveland Cavaliers,90,H
Denver Nuggets,81,Dallas Mavericks,92,H
Sacramento Kings,101,Golden State Warriors,120,H
Los Angeles Lakers,96,Portland Trail Blazers,108,H
Atlanta Hawks,88,San Antonio Spurs,108,H
New Orleans Pelicans,87,Utah Jazz,101,H
Toronto Raptors,84,Washington Wizards,82,V
Detroit Pistons,83,Brooklyn Nets,87,H
Milwaukee Bucks,82,Charlotte Hornets,87,H
Minnesota Timberwolves,99,Los Angeles Clippers,107,H
Indiana Pacers,107,Los Angeles Lakers,103,V
Philadelphia 76ers,84,Memphis Grizzlies,92,H
Houston Rockets,116,New York Knicks,111,V
Boston Celtics,91,Orlando Magic,110,H
Phoenix Suns,107,Toronto Raptors,102,V
Oklahoma City Thunder,100,Atlanta Hawks,106,H
San Antonio Spurs,89,Chicago Bulls,92,H
Houston Rockets,105,Detroit Pistons,116,H
Portland Trail Blazers,87,Los Angeles Clippers,102,H
Boston Celtics,105,Miami Heat,95,V
Denver Nuggets,74,Milwaukee Bucks,92,H
Dallas Mavericks,98,Sacramento Kings,112,H
Golden State Warriors,106,Utah Jazz,103,V
Phoenix Suns,91,Brooklyn Nets,94,H
Washington Wizards,97,Cleveland Cavaliers,85,V
Orlando Magic,96,Minnesota Timberwolves,93,V
Memphis Grizzlies,113,New Orleans Pelicans,104,V
Los Angeles Lakers,91,Philadelphia 76ers,103,H
Dallas Mavericks,115,Portland Trail Blazers,112,V
Toronto Raptors,96,Atlanta Hawks,86,V
Denver Nuggets,90,Chicago Bulls,99,H
Golden State Warriors,116,Charlotte Hornets,99,V
Phoenix Suns,122,Detroit Pistons,127,H
New Orleans Pelicans,101,Houston Rockets,108,H
Indiana Pacers,103,Los Angeles Clippers,91,V
Philadelphia 76ers,87,New York Knicks,99,H
Milwaukee Bucks,70,San Antonio Spurs,95,H
Los Angeles Lakers,108,Washington Wizards,104,V
San Antonio Spurs,103,Memphis Grizzlies,83,V
Oklahoma City Thunder,95,Miami Heat,97,H
Indiana Pacers,111,Portland Trail Blazers,123,H
Boston Celtics,114,Sacramento Kings,97,V
Denver Nuggets,106,Toronto Raptors,105,V
Orlando Magic,103,Utah Jazz,94,V
Los Angeles Lakers,87,Atlanta Hawks,100,H
Houston Rockets,100,Dallas Mavericks,96,V
Milwaukee Bucks,95,Detroit Pistons,102,H
Cleveland Cavaliers,108,New Orleans Pelicans,114,H
Brooklyn Nets,91,New York Knicks,108,H
Phoenix Suns,106,Washington Wizards,109,H
Charlotte Hornets,102,Chicago Bulls,96,V
Sacramento Kings,113,Houston Rockets,120,H
Orlando Magic,101,Los Angeles Clippers,103,H
Cleveland Cavaliers,84,Miami Heat,99,H
New York Knicks,91,Milwaukee Bucks,106,H
Portland Trail Blazers,109,Minnesota Timberwolves,103,V
Denver Nuggets,108,Philadelphia 76ers,105,V
Boston Celtics,105,San Antonio Spurs,108,H
Golden State Warriors,112,Toronto Raptors,109,V
Indiana Pacers,119,Utah Jazz,122,H
Golden State Warriors,114,Brooklyn Nets,98,V
Los Angeles Lakers,91,Detroit Pistons,111,H
Phoenix Suns,93,Memphis Grizzlies,95,H
Sacramento Kings,95,Oklahoma City Thunder,98,H
Dallas Mavericks,116,Washington Wizards,104,V
Phoenix Suns,103,Chicago Bulls,101,V
Detroit Pistons,84,Charlotte Hornets,104,H
Washington Wizards,114,Miami Heat,103,V
Portland Trail Blazers,88,Milwaukee Bucks,90,H
Los Angeles Clippers,110,Minnesota Timberwolves,106,V
Boston Celtics,111,New Orleans Pelicans,93,V
Dallas Mavericks,104,New York Knicks,97,V
San Antonio Spurs,119,Philadelphia 76ers,68,V
Los Angeles Lakers,93,Toronto Raptors,102,H
Houston Rockets,105,Brooklyn Nets,110,H
Portland Trail Blazers,100,Cleveland Cavaliers,105,H
Orlando Magic,85,Denver Nuggets,74,V
Golden State Warriors,131,Indiana Pacers,123,V
Oklahoma City Thunder,125,Memphis Grizzlies,88,V
Utah Jazz,106,Sacramento Kings,114,H
Chicago Bulls,100,Boston Celtics,105,H
Miami Heat,81,Charlotte Hornets,99,H
Atlanta Hawks,98,Dallas Mavericks,95,V
Memphis Grizzlies,93,Detroit Pistons,92,V
Los Angeles Clippers,109,Milwaukee Bucks,95,V
Los Angeles Lakers,122,Minnesota Timberwolves,123,H
Orlando Magic,104,Phoenix Suns,107,H
San Antonio Spurs,94,Toronto Raptors,97,H
New York Knicks,85,Utah Jazz,106,H
Houston Rockets,109,Washington Wizards,103,V
Philadelphia 76ers,91,Brooklyn Nets,100,H
Los Angeles Clippers,80,Chicago Bulls,83,H
Atlanta Hawks,94,Oklahoma City Thunder,107,H
New York Knicks,97,Sacramento Kings,99,H
Golden State Warriors,124,Boston Celtics,119,V
Minnesota Timberwolves,108,Denver Nuggets,111,H
Miami Heat,83,Indiana Pacers,96,H
Charlotte Hornets,123,Memphis Grizzlies,99,V
Washington Wizards,105,New Orleans Pelicans,107,H
Cleveland Cavaliers,111,Orlando Magic,76,V
Detroit Pistons,107,Philadelphia 76ers,95,V
Portland Trail Blazers,106,Phoenix Suns,96,V
Los Angeles Lakers,87,San Antonio Spurs,109,H
Milwaukee Bucks,83,Toronto Raptors,90,H
Oklahoma City Thunder,94,Utah Jazz,90,V
San Antonio Spurs,103,Atlanta Hawks,78,V
Los Angeles Clippers,105,Brooklyn Nets,100,V
New Orleans Pelicans,94,Chicago Bulls,98,H
Boston Celtics,98,Charlotte Hornets,93,V
Washington Wizards,114,Dallas Mavericks,111,V
Indiana Pacers,96,Detroit Pistons,118,H
Los Angeles Lakers,97,Houston Rockets,126,H
Golden State Warriors,95,Milwaukee Bucks,108,H
New York Knicks,112,Portland Trail Blazers,110,V
Memphis Grizzlies,97,Miami Heat,100,H
Utah Jazz,98,Oklahoma City Thunder,104,H
Minnesota Timberwolves,101,Phoenix Suns,108,H
Philadelphia 76ers,76,Toronto Raptors,96,H
Miami Heat,100,Atlanta Hawks,88,V
Orlando Magic,105,Brooklyn Nets,82,V
Philadelphia 76ers,96,Chicago Bulls,115,H
Phoenix Suns,94,Dallas Mavericks,104,H
Houston Rockets,108,Denver Nuggets,114,H
Los Angeles Clippers,105,Detroit Pistons,103,V
Toronto Raptors,90,Indiana Pacers,106,H
Washington Wizards,95,Memphis Grizzlies,112,H
New Orleans Pelicans,101,Portland Trail Blazers,105,H
Utah Jazz,81,San Antonio Spurs,118,H
Cleveland Cavaliers,89,Boston Celtics,77,V
Milwaukee Bucks,95,Los Angeles Lakers,113,H
Denver Nuggets,112,Minnesota Timberwolves,100,V
Houston Rockets,97,Sacramento Kings,107,H
