Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
San Antonio Spurs,101,Memphis Grizzlies,87,V
Brooklyn Nets,99,Miami Heat,110,H
Phoenix Suns,116,Minnesota Timberwolves,121,H
New York Knicks,91,New Orleans Pelicans,99,H
Sacramento Kings,93,Portland Trail Blazers,105,H
Oklahoma City Thunder,119,Toronto Raptors,100,V
Los Angeles Lakers,75,Utah Jazz,123,H
Houston Rockets,106,Cleveland Cavaliers,100,V
Oklahoma City Thunder,82,Detroit Pistons,88,H
Washington Wizards,94,Golden State Warriors,102,H
Chicago Bulls,98,Indiana Pacers,96,V
Brooklyn Nets,105,Orlando Magic,139,H
Charlotte Hornets,100,Philadelphia 76ers,85,V
New York Knicks,89,Dallas Mavericks,91,H
Miami Heat,100,Los Angeles Lakers,102,H
Denver Nuggets,109,Memphis Grizzlies,105,V
Phoenix Suns,94,Milwaukee Bucks,105,H
Los Angeles Clippers,99,Minnesota Timberwolves,79,V
Washington Wizards,111,Sacramento Kings,120,H
New Orleans Pelicans,92,San Antonio Spurs,100,H
Atlanta Hawks,97,Toronto Raptors,105,H
Golden State Warriors,103,Utah Jazz,96,V
Brooklyn Nets,87,Cleveland Cavaliers,107,H
Chicago Bulls,103,Houston Rockets,100,V
Orlando Magic,114,Indiana Pacers,94,V
Denver Nuggets,95,New Orleans Pelicans,101,H
Los Angeles Clippers,117,Oklahoma City Thunder,119,H
Boston Celtics,109,Portland Trail Blazers,116,H
Cleveland Cavaliers,110,Atlanta Hawks,108,V
Philadelphia 76ers,91,Charlotte Hornets,100,H
Dallas Mavericks,98,Detroit Pistons,89,V
Boston Celtics,109,Golden State Warriors,106,V
Toronto Raptors,99,Memphis Grizzlies,95,V
Orlando Magic,110,Milwaukee Bucks,113,H
Brooklyn Nets,91,New York Knicks,105,H
Washington Wizards,106,Phoenix Suns,99,V
Miami Heat,112,Sacramento Kings,106,V
Minnesota Timberwolves,85,Utah Jazz,98,H
Detroit Pistons,94,Chicago Bulls,90,V
Sacramento Kings,115,Denver Nuggets,106,V
Indiana Pacers,115,Philadelphia 76ers,102,V
Miami Heat,93,Portland Trail Blazers,110,H
Toronto Raptors,95,San Antonio Spurs,102,H
New Orleans Pelicans,106,Brooklyn Nets,87,V
Charlotte Hornets,103,Cleveland Cavaliers,112,H
Portland Trail Blazers,111,Golden State Warriors,136,H
Oklahoma City Thunder,110,Houston Rockets,118,H
Washington Wizards,109,Los Angeles Clippers,114,H
Boston Celtics,107,Los Angeles Lakers,100,V
Chicago Bulls,102,Milwaukee Bucks,98,V
Dallas Mavericks,88,Minnesota Timberwolves,78,V
Indiana Pacers,92,New York Knicks,87,V
Memphis Grizzlies,107,Orlando Magic,119,H
Utah Jazz,101,Phoenix Suns,86,V
Phoenix Suns,90,Atlanta Hawks,103,H
Oklahoma City Thunder,124,Denver Nuggets,102,V
Minnesota Timberwolves,124,Golden State Warriors,117,V
Los Angeles Lakers,81,Los Angeles Clippers,103,H
Chicago Bulls,92,Memphis Grizzlies,108,H
Detroit Pistons,89,Miami Heat,107,H
Cleveland Cavaliers,109,Milwaukee Bucks,80,V
New Orleans Pelicans,93,Philadelphia 76ers,107,H
Portland Trail Blazers,115,Sacramento Kings,107,V
Charlotte Hornets,90,Toronto Raptors,96,H
San Antonio Spurs,88,Utah Jazz,86,V
New Orleans Pelicans,97,Boston Celtics,104,H
Houston Rockets,86,Dallas Mavericks,88,H
Cleveland Cavaliers,109,Indiana Pacers,123,H
Los Angeles Clippers,91,Los Angeles Lakers,81,V
Charlotte Hornets,111,New York Knicks,97,V
Detroit Pistons,108,Orlando Magic,104,V
Oklahoma City Thunder,115,Portland Trail Blazers,120,H
Brooklyn Nets,103,Washington Wizards,121,H
Toronto Raptors,87,Atlanta Hawks,95,H
San Antonio Spurs,101,Golden State Warriors,112,H
Phoenix Suns,124,Houston Rockets,115,V
Chicago Bulls,98,Miami Heat,106,H
Minnesota Timberwolves,105,Sacramento Kings,97,V
Milwaukee Bucks,109,Boston Celtics,124,H
Brooklyn Nets,99,Charlotte Hornets,113,H
Memphis Grizzlies,93,Dallas Mavericks,103,H
San Antonio Spurs,98,Denver Nuggets,102,H
Washington Wizards,99,Detroit Pistons,112,H
Los Angeles Lakers,102,New Orleans Pelicans,110,H
Miami Heat,109,Orlando Magic,112,H
New York Knicks,109,Philadelphia 76ers,102,V
Indiana Pacers,98,Toronto Raptors,111,H
Los Angeles Clippers,102,Utah Jazz,99,V
Boston Celtics,107,Atlanta Hawks,118,H
Cleveland Cavaliers,102,Chicago Bulls,105,H
Golden State Warriors,100,Memphis Grizzlies,99,V
Phoenix Suns,121,New Orleans Pelicans,100,V
Minnesota Timberwolves,106,Portland Trail Blazers,105,V
Oklahoma City Thunder,112,Sacramento Kings,114,H
Utah Jazz,100,Denver Nuggets,84,V
Los Angeles Lakers,110,Houston Rockets,130,H
Brooklyn Nets,105,Indiana Pacers,129,H
Dallas Mavericks,91,Los Angeles Clippers,98,H
Orlando Magic,96,Miami Heat,118,H
Toronto Raptors,93,New York Knicks,89,V
Milwaukee Bucks,109,Philadelphia 76ers,108,V
Golden State Warriors,92,San Antonio Spurs,86,V
Charlotte Hornets,98,Washington Wizards,113,H
Charlotte Hornets,114,Boston Celtics,100,V
Washington Wizards,120,Brooklyn Nets,111,V
Atlanta Hawks,94,Cleveland Cavaliers,109,H
Houston Rockets,129,Minnesota Timberwolves,105,V
Chicago Bulls,121,New Orleans Pelicans,116,V
Los Angeles Lakers,79,Oklahoma City Thunder,112,H
Milwaukee Bucks,98,Orlando Magic,107,H
Sacramento Kings,105,Phoenix Suns,101,V
Dallas Mavericks,101,Utah Jazz,92,V
Miami Heat,99,Detroit Pistons,93,V
New York Knicks,90,Indiana Pacers,102,H
Memphis Grizzlies,84,Los Angeles Clippers,110,H
Oklahoma City Thunder,98,San Antonio Spurs,102,H
Philadelphia 76ers,98,Toronto Raptors,122,H
Miami Heat,88,Boston Celtics,98,H
Toronto Raptors,103,Brooklyn Nets,96,V
Philadelphia 76ers,105,Chicago Bulls,115,H
Orlando Magic,103,Charlotte Hornets,117,H
Detroit Pistons,112,Cleveland Cavaliers,110,V
San Antonio Spurs,96,Dallas Mavericks,91,V
Memphis Grizzlies,104,Golden State Warriors,125,H
Sacramento Kings,81,Houston Rockets,116,H
Utah Jazz,96,Los Angeles Lakers,101,H
Indiana Pacers,97,Milwaukee Bucks,92,V
New Orleans Pelicans,109,Minnesota Timberwolves,144,H
Los Angeles Clippers,105,Phoenix Suns,114,H
Denver Nuggets,99,Portland Trail Blazers,107,H
Atlanta Hawks,98,Washington Wizards,109,H
