Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Toronto Raptors,118,Chicago Bulls,123,H
Atlanta Hawks,97,Dallas Mavericks,82,V
New York Knicks,109,Indiana Pacers,123,H
Utah Jazz,94,Minnesota Timberwolves,92,V
Denver Nuggets,106,Oklahoma City Thunder,121,H
Charlotte Hornets,85,San Antonio Spurs,102,H
Philadelphia 76ers,105,Brooklyn Nets,95,V
Miami Heat,86,Los Angeles Clippers,98,H
Orlando Magic,95,Los Angeles Lakers,111,H
Utah Jazz,79,Memphis Grizzlies,88,H
Washington Wizards,107,Milwaukee Bucks,101,V
Cleveland Cavaliers,120,Phoenix Suns,116,V
Detroit Pistons,125,Portland Trail Blazers,124,V
Golden State Warriors,117,Sacramento Kings,106,V
Houston Rockets,129,Toronto Raptors,122,V
Oklahoma City Thunder,109,Chicago Bulls,94,V
Dallas Mavericks,92,Minnesota Timberwolves,101,H
New Orleans Pelicans,110,New York Knicks,96,V
Atlanta Hawks,117,Brooklyn Nets,97,V
Miami Heat,95,Golden State Warriors,107,H
Charlotte Hornets,114,Houston Rockets,121,H
Portland Trail Blazers,108,Los Angeles Lakers,87,V
Detroit Pistons,94,Sacramento Kings,100,H
Milwaukee Bucks,109,San Antonio Spurs,107,V
Boston Celtics,106,Toronto Raptors,114,H
Cleveland Cavaliers,92,Utah Jazz,100,H
Chicago Bulls,99,Washington Wizards,101,H
Washington Wizards,108,Boston Celtics,117,H
Orlando Magic,96,Los Angeles Clippers,105,H
Houston Rockets,105,Minnesota Timberwolves,119,H
Memphis Grizzlies,95,Oklahoma City Thunder,103,H
New York Knicks,97,Philadelphia 76ers,98,H
Cleveland Cavaliers,86,Portland Trail Blazers,102,H
New Orleans Pelicans,104,Brooklyn Nets,95,V
Indiana Pacers,112,Denver Nuggets,140,H
Detroit Pistons,107,Golden State Warriors,127,H
Chicago Bulls,89,New York Knicks,104,H
Dallas Mavericks,113,Phoenix Suns,108,V
Los Angeles Lakers,94,San Antonio Spurs,134,H
Boston Celtics,103,Atlanta Hawks,101,V
Memphis Grizzlies,110,Houston Rockets,105,V
Miami Heat,108,Milwaukee Bucks,116,H
Oklahoma City Thunder,86,Minnesota Timberwolves,96,H
Charlotte Hornets,93,Philadelphia 76ers,102,H
Orlando Magic,115,Portland Trail Blazers,109,V
Cleveland Cavaliers,120,Sacramento Kings,108,V
Brooklyn Nets,113,Toronto Raptors,132,H
Detroit Pistons,77,Utah Jazz,110,H
New Orleans Pelicans,99,Chicago Bulls,107,H
Los Angeles Lakers,97,Los Angeles Clippers,113,H
San Antonio Spurs,105,Phoenix Suns,108,H
Orlando Magic,107,Utah Jazz,114,H
Philadelphia 76ers,93,Washington Wizards,109,H
Milwaukee Bucks,98,Atlanta Hawks,111,H
Houston Rockets,137,Brooklyn Nets,112,V
Minnesota Timberwolves,87,Dallas Mavericks,98,H
Detroit Pistons,102,Los Angeles Lakers,97,V
Chicago Bulls,108,Memphis Grizzlies,104,V
Oklahoma City Thunder,122,Sacramento Kings,118,V
New York Knicks,101,Toronto Raptors,116,H
Charlotte Hornets,98,Boston Celtics,108,H
Orlando Magic,112,Denver Nuggets,125,H
Cleveland Cavaliers,91,Golden State Warriors,126,H
New Orleans Pelicans,95,Indiana Pacers,98,H
Oklahoma City Thunder,98,Los Angeles Clippers,120,H
Philadelphia 76ers,113,Milwaukee Bucks,104,V
Atlanta Hawks,108,New York Knicks,107,V
Utah Jazz,106,Phoenix Suns,101,V
Portland Trail Blazers,101,Washington Wizards,120,H
Toronto Raptors,119,Brooklyn Nets,109,V
Dallas Mavericks,99,Chicago Bulls,98,V
Denver Nuggets,127,Los Angeles Lakers,121,V
Houston Rockets,103,Miami Heat,109,H
Minnesota Timberwolves,114,San Antonio Spurs,122,H
New York Knicks,117,Boston Celtics,106,V
Portland Trail Blazers,85,Charlotte Hornets,107,H
Atlanta Hawks,95,Detroit Pistons,118,H
Oklahoma City Thunder,100,Golden State Warriors,121,H
Milwaukee Bucks,92,Houston Rockets,111,H
Orlando Magic,98,New Orleans Pelicans,118,H
Toronto Raptors,89,Philadelphia 76ers,94,H
Indiana Pacers,106,Sacramento Kings,100,V
Memphis Grizzlies,101,Washington Wizards,104,H
Phoenix Suns,103,Cleveland Cavaliers,118,H
Minnesota Timberwolves,104,Los Angeles Clippers,101,V
Dallas Mavericks,95,Miami Heat,99,H
Washington Wizards,113,New York Knicks,110,V
Denver Nuggets,104,San Antonio Spurs,118,H
Chicago Bulls,93,Atlanta Hawks,102,H
Toronto Raptors,78,Charlotte Hornets,113,H
Utah Jazz,112,Dallas Mavericks,107,V
Golden State Warriors,125,Houston Rockets,108,V
Indiana Pacers,95,Los Angeles Lakers,108,H
Sacramento Kings,91,Memphis Grizzlies,107,H
Brooklyn Nets,143,New Orleans Pelicans,114,V
Milwaukee Bucks,96,Orlando Magic,112,H
Portland Trail Blazers,92,Philadelphia 76ers,93,H
Philadelphia 76ers,93,Atlanta Hawks,110,H
Portland Trail Blazers,127,Boston Celtics,123,V
Sacramento Kings,99,Chicago Bulls,102,H
Brooklyn Nets,105,Charlotte Hornets,112,H
San Antonio Spurs,118,Cleveland Cavaliers,115,V
Los Angeles Clippers,98,Denver Nuggets,123,H
Washington Wizards,112,Detroit Pistons,113,H
Houston Rockets,119,Memphis Grizzlies,95,V
Milwaukee Bucks,97,Miami Heat,109,H
Phoenix Suns,107,New York Knicks,105,V
Indiana Pacers,100,Utah Jazz,109,H
Los Angeles Lakers,73,Dallas Mavericks,122,H
Denver Nuggets,108,Minnesota Timberwolves,111,H
Golden State Warriors,118,Orlando Magic,98,V
Phoenix Suns,115,Toronto Raptors,103,V
Los Angeles Clippers,115,Atlanta Hawks,105,V
San Antonio Spurs,112,Brooklyn Nets,86,V
Washington Wizards,109,Charlotte Hornets,99,V
Sacramento Kings,109,Detroit Pistons,104,V
New York Knicks,109,Indiana Pacers,103,V
Golden State Warriors,102,Miami Heat,105,H
Houston Rockets,114,Milwaukee Bucks,127,H
Cleveland Cavaliers,122,New Orleans Pelicans,124,H
Oklahoma City Thunder,97,Utah Jazz,95,V
Utah Jazz,93,Denver Nuggets,103,H
Chicago Bulls,100,Orlando Magic,92,V
Los Angeles Clippers,110,Philadelphia 76ers,121,H
Minnesota Timberwolves,112,Phoenix Suns,111,V
San Antonio Spurs,108,Toronto Raptors,106,V
Boston Celtics,108,Washington Wizards,123,H
Houston Rockets,109,Boston Celtics,120,H
Miami Heat,109,Brooklyn Nets,106,V
Atlanta Hawks,119,Chicago Bulls,114,V
Golden State Warriors,113,Charlotte Hornets,103,V
Sacramento Kings,116,Cleveland Cavaliers,112,V
New York Knicks,95,Dallas Mavericks,103,H
Toronto Raptors,99,Memphis Grizzlies,101,H
Philadelphia 76ers,114,Milwaukee Bucks,109,V
Oklahoma City Thunder,114,New Orleans Pelicans,105,V
Los Angeles Lakers,98,Portland Trail Blazers,105,H
Phoenix Suns,120,Denver Nuggets,127,H
Indiana Pacers,109,Minnesota Timberwolves,103,V
Dallas Mavericks,98,Oklahoma City Thunder,109,H
Los Angeles Lakers,88,Utah Jazz,96,H
Washington Wizards,112,Atlanta Hawks,86,V
Orlando Magic,98,Boston Celtics,128,H
Miami Heat,100,Chicago Bulls,88,V
Brooklyn Nets,116,Cleveland Cavaliers,124,H
Sacramento Kings,111,Indiana Pacers,115,H
San Antonio Spurs,103,New Orleans Pelicans,119,H
Charlotte Hornets,107,New York Knicks,110,H
Houston Rockets,123,Philadelphia 76ers,118,V
Memphis Grizzlies,109,Portland Trail Blazers,112,H
Milwaukee Bucks,86,Toronto Raptors,102,H
Sacramento Kings,109,Charlotte Hornets,106,V
Los Angeles Clippers,98,Golden State Warriors,144,H
Detroit Pistons,103,Miami Heat,116,H
Boston Celtics,112,Milwaukee Bucks,108,V
Brooklyn Nets,109,Minnesota Timberwolves,129,H
Denver Nuggets,123,Phoenix Suns,112,V
Memphis Grizzlies,102,Utah Jazz,95,V
New York Knicks,139,Atlanta Hawks,142,H
Philadelphia 76ers,108,Chicago Bulls,121,H
Oklahoma City Thunder,91,Cleveland Cavaliers,107,H
Houston Rockets,101,Indiana Pacers,120,H
Washington Wizards,107,New Orleans Pelicans,94,V
Golden State Warriors,113,Portland Trail Blazers,111,V
Dallas Mavericks,105,San Antonio Spurs,101,V
Orlando Magic,114,Toronto Raptors,113,V
Detroit Pistons,109,Boston Celtics,113,H
Cleveland Cavaliers,97,Dallas Mavericks,104,H
Brooklyn Nets,96,Miami Heat,104,H
Orlando Magic,105,Minnesota Timberwolves,111,H
Sacramento Kings,119,Philadelphia 76ers,122,H
Memphis Grizzlies,115,Phoenix Suns,96,V
Sacramento Kings,83,Houston Rockets,105,H
Denver Nuggets,116,Los Angeles Lakers,120,H
Charlotte Hornets,98,Portland Trail Blazers,115,H
Oklahoma City Thunder,94,San Antonio Spurs,108,H
New Orleans Pelicans,106,Toronto Raptors,108,H
New York Knicks,101,Washington Wizards,117,H
Toronto Raptors,104,Boston Celtics,109,H
New York Knicks,95,Brooklyn Nets,90,V
Minnesota Timberwolves,97,Cleveland Cavaliers,125,H
Philadelphia 76ers,95,Dallas Mavericks,113,H
Memphis Grizzlies,119,Denver Nuggets,99,V
New Orleans Pelicans,98,Detroit Pistons,118,H
Charlotte Hornets,111,Golden State Warriors,126,H
Atlanta Hawks,93,Miami Heat,116,H
Chicago Bulls,128,Oklahoma City Thunder,100,V
Indiana Pacers,98,Orlando Magic,88,V
Los Angeles Clippers,124,Phoenix Suns,114,V
Milwaukee Bucks,88,Utah Jazz,104,H
Atlanta Hawks,113,Houston Rockets,108,V
Golden State Warriors,133,Los Angeles Clippers,120,V
Philadelphia 76ers,86,San Antonio Spurs,102,H
Los Angeles Lakers,108,Washington Wizards,116,H
Los Angeles Lakers,107,Boston Celtics,113,H
Indiana Pacers,106,Brooklyn Nets,97,V
Milwaukee Bucks,117,Denver Nuggets,121,H
Minnesota Timberwolves,108,Detroit Pistons,116,H
Chicago Bulls,117,Houston Rockets,121,H
Memphis Grizzlies,102,Oklahoma City Thunder,114,H
Toronto Raptors,94,Orlando Magic,102,H
Dallas Mavericks,108,Portland Trail Blazers,104,V
Phoenix Suns,105,Sacramento Kings,103,V
Orlando Magic,86,Atlanta Hawks,113,H
Detroit Pistons,84,Indiana Pacers,105,H
Philadelphia 76ers,102,Miami Heat,125,H
Memphis Grizzlies,107,Minnesota Timberwolves,99,V
Cleveland Cavaliers,111,New York Knicks,104,V
Milwaukee Bucks,137,Phoenix Suns,112,V
Golden State Warriors,106,Sacramento Kings,109,H
Denver Nuggets,97,San Antonio Spurs,121,H
Charlotte Hornets,98,Utah Jazz,105,H
New Orleans Pelicans,91,Washington Wizards,105,H
Los Angeles Clippers,102,Boston Celtics,107,H
Toronto Raptors,103,Brooklyn Nets,95,V
Portland Trail Blazers,99,Oklahoma City Thunder,105,H
Utah Jazz,120,Atlanta Hawks,95,V
Dallas Mavericks,87,Denver Nuggets,110,H
Philadelphia 76ers,96,Detroit Pistons,113,H
Oklahoma City Thunder,90,Indiana Pacers,93,H
San Antonio Spurs,74,Memphis Grizzlies,89,H
Miami Heat,115,Minnesota Timberwolves,113,V
Phoenix Suns,106,New Orleans Pelicans,111,H
Los Angeles Lakers,121,New York Knicks,107,V
Chicago Bulls,112,Sacramento Kings,107,V
Los Angeles Clippers,109,Toronto Raptors,118,H
Cleveland Cavaliers,140,Washington Wizards,135,V
Brooklyn Nets,107,Charlotte Hornets,111,H
Portland Trail Blazers,114,Dallas Mavericks,113,V
Orlando Magic,104,Houston Rockets,128,H
Denver Nuggets,106,Atlanta Hawks,117,H
Washington Wizards,114,Brooklyn Nets,110,V
Los Angeles Lakers,102,Detroit Pistons,121,H
Chicago Bulls,92,Golden State Warriors,123,H
Cleveland Cavaliers,132,Indiana Pacers,117,V
Phoenix Suns,91,Memphis Grizzlies,110,H
Miami Heat,106,Milwaukee Bucks,88,V
Toronto Raptors,109,Minnesota Timberwolves,112,H
Utah Jazz,127,New Orleans Pelicans,94,V
Los Angeles Clippers,119,New York Knicks,115,V
San Antonio Spurs,111,Philadelphia 76ers,103,V
Boston Celtics,92,Sacramento Kings,108,H
Houston Rockets,107,Charlotte Hornets,95,V
Utah Jazz,105,Dallas Mavericks,112,H
Cleveland Cavaliers,109,Oklahoma City Thunder,118,H
Philadelphia 76ers,112,Orlando Magic,111,V
Boston Celtics,120,Portland Trail Blazers,111,V
Miami Heat,108,Brooklyn Nets,99,V
San Antonio Spurs,103,Detroit Pistons,92,V
Golden State Warriors,122,Memphis Grizzlies,107,V
Los Angeles Lakers,122,Milwaukee Bucks,114,V
New Orleans Pelicans,122,Minnesota Timberwolves,106,V
Denver Nuggets,131,New York Knicks,123,V
Chicago Bulls,97,Phoenix Suns,115,H
Atlanta Hawks,107,Sacramento Kings,108,H
Indiana Pacers,107,Washington Wizards,112,H
Los Angeles Clippers,107,Charlotte Hornets,102,V
Denver Nuggets,109,Cleveland Cavaliers,125,H
Orlando Magic,80,Dallas Mavericks,112,H
Phoenix Suns,102,Houston Rockets,133,H
Milwaukee Bucks,116,Indiana Pacers,100,V
Golden State Warriors,130,Oklahoma City Thunder,114,V
Miami Heat,109,Philadelphia 76ers,117,H
Boston Celtics,112,Utah Jazz,104,V
Chicago Bulls,89,Minnesota Timberwolves,117,H
San Antonio Spurs,90,New York Knicks,94,H
New Orleans Pelicans,99,Sacramento Kings,105,H
Detroit Pistons,102,Toronto Raptors,101,V
Memphis Grizzlies,112,Brooklyn Nets,103,V
Philadelphia 76ers,105,Charlotte Hornets,99,V
Boston Celtics,111,Dallas Mavericks,98,V
Golden State Warriors,110,Denver Nuggets,132,H
San Antonio Spurs,110,Indiana Pacers,106,V
Orlando Magic,116,Miami Heat,107,V
Detroit Pistons,89,Milwaukee Bucks,102,H
New Orleans Pelicans,110,Phoenix Suns,108,V
Atlanta Hawks,109,Portland Trail Blazers,104,V
Los Angeles Clippers,88,Utah Jazz,72,V
Oklahoma City Thunder,98,Washington Wizards,120,H
Toronto Raptors,94,Chicago Bulls,105,H
Sacramento Kings,97,Los Angeles Lakers,96,V
Cleveland Cavaliers,116,Minnesota Timberwolves,108,V
Philadelphia 76ers,108,Boston Celtics,116,H
Milwaukee Bucks,129,Brooklyn Nets,125,V
Indiana Pacers,104,Cleveland Cavaliers,113,H
Minnesota Timberwolves,112,Denver Nuggets,99,V
Dallas Mavericks,91,Detroit Pistons,98,H
Sacramento Kings,86,Golden State Warriors,109,H
Miami Heat,117,Houston Rockets,109,V
Atlanta Hawks,84,Los Angeles Clippers,99,H
New Orleans Pelicans,95,Memphis Grizzlies,91,V
New York Knicks,105,Oklahoma City Thunder,116,H
San Antonio Spurs,107,Orlando Magic,79,V
Los Angeles Lakers,101,Phoenix Suns,137,H
Charlotte Hornets,85,Toronto Raptors,90,H
Portland Trail Blazers,88,Utah Jazz,111,H
Boston Celtics,103,Chicago Bulls,104,H
Washington Wizards,111,Indiana Pacers,98,V
New York Knicks,104,Cleveland Cavaliers,119,H
Charlotte Hornets,108,Detroit Pistons,114,H
Los Angeles Clippers,113,Golden State Warriors,123,H
Houston Rockets,129,New Orleans Pelicans,99,V
Portland Trail Blazers,112,Orlando Magic,103,V
Denver Nuggets,100,Sacramento Kings,116,H
Miami Heat,108,Atlanta Hawks,90,V
Phoenix Suns,121,Chicago Bulls,128,H
Brooklyn Nets,109,Denver Nuggets,129,H
Memphis Grizzlies,92,Indiana Pacers,102,H
San Antonio Spurs,105,Los Angeles Clippers,97,V
Utah Jazz,109,Milwaukee Bucks,95,V
Dallas Mavericks,84,Minnesota Timberwolves,97,H
Los Angeles Lakers,93,Oklahoma City Thunder,110,H
Washington Wizards,112,Philadelphia 76ers,120,H
Boston Celtics,97,Toronto Raptors,107,H
Chicago Bulls,117,Cleveland Cavaliers,99,V
New Orleans Pelicans,83,Dallas Mavericks,96,H
Brooklyn Nets,95,Golden State Warriors,112,H
Minnesota Timberwolves,130,Houston Rockets,142,H
Indiana Pacers,95,Miami Heat,113,H
Philadelphia 76ers,109,New York Knicks,110,H
Atlanta Hawks,86,Orlando Magic,105,H
Charlotte Hornets,99,Sacramento Kings,85,V
Memphis Grizzlies,105,Denver Nuggets,98,V
Boston Celtics,104,Detroit Pistons,98,V
Charlotte Hornets,121,Los Angeles Clippers,124,H
San Antonio Spurs,119,Los Angeles Lakers,98,V
Phoenix Suns,96,Milwaukee Bucks,100,H
New Orleans Pelicans,110,Oklahoma City Thunder,118,H
Portland Trail Blazers,106,Toronto Raptors,112,H
Utah Jazz,102,Washington Wizards,92,V
Atlanta Hawks,114,Boston Celtics,98,V
Milwaukee Bucks,95,Cleveland Cavaliers,102,H
Miami Heat,89,Dallas Mavericks,96,H
Indiana Pacers,117,Houston Rockets,108,V
Toronto Raptors,92,New York Knicks,91,V
Golden State Warriors,119,Philadelphia 76ers,108,V
Minnesota Timberwolves,102,Sacramento Kings,88,V
Denver Nuggets,125,Chicago Bulls,107,V
Portland Trail Blazers,113,Detroit Pistons,120,H
Charlotte Hornets,109,Los Angeles Lakers,104,V
Phoenix Suns,112,Memphis Grizzlies,130,H
Utah Jazz,106,Oklahoma City Thunder,109,H
Golden State Warriors,108,Washington Wizards,112,H
Dallas Mavericks,95,Atlanta Hawks,100,H
Cleveland Cavaliers,99,Boston Celtics,103,H
Houston Rockets,122,Los Angeles Clippers,103,V
Philadelphia 76ers,98,Miami Heat,125,H
Denver Nuggets,110,Milwaukee Bucks,98,V
Detroit Pistons,86,New Orleans Pelicans,109,H
New York Knicks,101,Orlando Magic,90,V
Brooklyn Nets,109,Sacramento Kings,100,V
Indiana Pacers,99,San Antonio Spurs,100,H
Washington Wizards,105,Toronto Raptors,96,V
Minnesota Timberwolves,107,Utah Jazz,80,V
Golden State Warriors,87,Chicago Bulls,94,H
Charlotte Hornets,103,Phoenix Suns,120,H
Oklahoma City Thunder,109,Portland Trail Blazers,114,H
Cleveland Cavaliers,135,Atlanta Hawks,130,V
Memphis Grizzlies,100,Dallas Mavericks,104,H
Boston Celtics,115,Los Angeles Lakers,95,V
Los Angeles Clippers,101,Milwaukee Bucks,112,H
San Antonio Spurs,101,New Orleans Pelicans,98,V
Miami Heat,99,Orlando Magic,110,H
New York Knicks,102,Philadelphia 76ers,105,H
Oklahoma City Thunder,111,Phoenix Suns,118,H
Brooklyn Nets,97,Utah Jazz,112,H
Toronto Raptors,114,Washington Wizards,106,V
Los Angeles Clippers,101,Chicago Bulls,91,V
Charlotte Hornets,112,Denver Nuggets,102,V
Memphis Grizzlies,108,Houston Rockets,123,H
Cleveland Cavaliers,92,Miami Heat,120,H
Toronto Raptors,94,Milwaukee Bucks,101,H
Detroit Pistons,136,Philadelphia 76ers,106,V
Brooklyn Nets,116,Portland Trail Blazers,130,H
Minnesota Timberwolves,90,San Antonio Spurs,97,H
Indiana Pacers,97,Atlanta Hawks,96,V
Oklahoma City Thunder,89,Dallas Mavericks,104,H
New Orleans Pelicans,105,Los Angeles Lakers,97,V
Golden State Warriors,112,New York Knicks,105,V
Boston Celtics,106,Phoenix Suns,109,H
Utah Jazz,110,Sacramento Kings,109,V
Orlando Magic,114,Washington Wizards,115,H
Golden State Warriors,119,Atlanta Hawks,111,V
Indiana Pacers,88,Charlotte Hornets,100,H
Miami Heat,106,Cleveland Cavaliers,98,V
Sacramento Kings,96,Denver Nuggets,108,H
Chicago Bulls,95,Detroit Pistons,109,H
Boston Celtics,102,Los Angeles Clippers,116,H
Brooklyn Nets,122,Memphis Grizzlies,109,V
New York Knicks,113,Orlando Magic,105,V
Milwaukee Bucks,112,Philadelphia 76ers,98,V
Houston Rockets,110,San Antonio Spurs,112,H
New Orleans Pelicans,83,Utah Jazz,88,H
Los Angeles Lakers,111,Dallas Mavericks,122,H
Portland Trail Blazers,126,Oklahoma City Thunder,121,V
Washington Wizards,131,Phoenix Suns,127,V
Brooklyn Nets,105,Atlanta Hawks,110,H
Washington Wizards,123,Denver Nuggets,113,V
Boston Celtics,99,Golden State Warriors,86,V
Utah Jazz,115,Houston Rockets,108,V
Detroit Pistons,98,Indiana Pacers,115,H
Charlotte Hornets,101,Miami Heat,108,H
New York Knicks,93,Milwaukee Bucks,104,H
Los Angeles Clippers,91,Minnesota Timberwolves,107,H
Toronto Raptors,94,New Orleans Pelicans,87,V
Chicago Bulls,91,Orlando Magic,98,H
Sacramento Kings,104,San Antonio Spurs,114,H
Cleveland Cavaliers,101,Detroit Pistons,106,H
Los Angeles Clippers,114,Memphis Grizzlies,98,V
San Antonio Spurs,92,Oklahoma City Thunder,102,H
Los Angeles Lakers,122,Phoenix Suns,110,V
Philadelphia 76ers,108,Portland Trail Blazers,114,H
Toronto Raptors,99,Atlanta Hawks,105,H
Houston Rockets,115,Chicago Bulls,94,V
Orlando Magic,81,Charlotte Hornets,121,H
Brooklyn Nets,96,Dallas Mavericks,105,H
Boston Celtics,99,Denver Nuggets,119,H
Indiana Pacers,85,Milwaukee Bucks,99,H
Golden State Warriors,102,Minnesota Timberwolves,103,H
Washington Wizards,130,Sacramento Kings,122,V
New Orleans Pelicans,125,Charlotte Hornets,122,V
Phoenix Suns,100,Dallas Mavericks,98,V
New York Knicks,92,Detroit Pistons,112,H
Philadelphia 76ers,100,Los Angeles Clippers,112,H
Atlanta Hawks,107,Memphis Grizzlies,90,V
Toronto Raptors,89,Miami Heat,104,H
Minnesota Timberwolves,95,Milwaukee Bucks,102,H
Utah Jazz,104,Oklahoma City Thunder,112,H
Cleveland Cavaliers,116,Orlando Magic,104,V
Washington Wizards,125,Portland Trail Blazers,124,V
Denver Nuggets,105,Sacramento Kings,92,V
Golden State Warriors,85,San Antonio Spurs,107,H
Chicago Bulls,80,Boston Celtics,100,H
New York Knicks,112,Brooklyn Nets,120,H
Cleveland Cavaliers,112,Houston Rockets,117,H
Miami Heat,98,Indiana Pacers,102,H
Philadelphia 76ers,118,Los Angeles Lakers,116,V
Portland Trail Blazers,110,Phoenix Suns,101,V
Chicago Bulls,115,Charlotte Hornets,109,V
Los Angeles Lakers,101,Denver Nuggets,129,H
Milwaukee Bucks,93,Memphis Grizzlies,113,H
Washington Wizards,104,Minnesota Timberwolves,119,H
Orlando Magic,115,Sacramento Kings,120,H
Atlanta Hawks,99,San Antonio Spurs,107,H
Dallas Mavericks,78,Toronto Raptors,100,H
Los Angeles Clippers,108,Utah Jazz,114,H
Oklahoma City Thunder,122,Brooklyn Nets,104,V
Detroit Pistons,96,Cleveland Cavaliers,128,H
Philadelphia 76ers,104,Golden State Warriors,106,H
Portland Trail Blazers,77,New Orleans Pelicans,100,H
Indiana Pacers,81,New York Knicks,87,H
Minnesota Timberwolves,104,Boston Celtics,117,H
Memphis Grizzlies,98,Chicago Bulls,91,V
Utah Jazz,97,Detroit Pistons,83,V
Los Angeles Lakers,100,Houston Rockets,139,H
Charlotte Hornets,77,Indiana Pacers,98,H
Milwaukee Bucks,97,Los Angeles Clippers,96,V
New Orleans Pelicans,112,Miami Heat,120,H
Sacramento Kings,107,Phoenix Suns,101,V
Portland Trail Blazers,110,San Antonio Spurs,106,V
Dallas Mavericks,112,Washington Wizards,107,V
Memphis Grizzlies,103,Atlanta Hawks,91,V
Utah Jazz,83,Cleveland Cavaliers,91,H
Los Angeles Clippers,114,Denver Nuggets,129,H
Orlando Magic,92,Golden State Warriors,122,H
Brooklyn Nets,121,New York Knicks,110,V
Oklahoma City Thunder,123,Toronto Raptors,102,V
Boston Celtics,98,Brooklyn Nets,95,V
Toronto Raptors,87,Detroit Pistons,75,V
Milwaukee Bucks,107,Los Angeles Lakers,103,V
Minnesota Timberwolves,105,Miami Heat,123,H
Houston Rockets,112,New Orleans Pelicans,128,H
Dallas Mavericks,74,Philadelphia 76ers,116,H
Orlando Magic,109,Phoenix Suns,103,V
Chicago Bulls,107,Washington Wizards,112,H
Portland Trail Blazers,113,Atlanta Hawks,97,V
Utah Jazz,86,Chicago Bulls,95,H
Washington Wizards,93,Charlotte Hornets,98,H
Houston Rockets,109,Denver Nuggets,105,V
Milwaukee Bucks,92,Golden State Warriors,117,H
Cleveland Cavaliers,78,Los Angeles Clippers,108,H
San Antonio Spurs,96,Memphis Grizzlies,104,H
Sacramento Kings,94,Oklahoma City Thunder,110,H
Dallas Mavericks,111,Brooklyn Nets,104,V
Phoenix Suns,95,Detroit Pistons,112,H
Cleveland Cavaliers,125,Los Angeles Lakers,120,V
Portland Trail Blazers,115,Miami Heat,104,V
Minnesota Timberwolves,109,New Orleans Pelicans,123,H
Boston Celtics,99,Philadelphia 76ers,105,H
Sacramento Kings,102,San Antonio Spurs,118,H
Indiana Pacers,91,Toronto Raptors,116,H
Washington Wizards,102,Boston Celtics,110,H
Atlanta Hawks,90,Charlotte Hornets,105,H
Denver Nuggets,124,Houston Rockets,125,H
Utah Jazz,100,Indiana Pacers,107,H
New York Knicks,105,Los Angeles Clippers,114,H
Golden State Warriors,111,Oklahoma City Thunder,95,V
Philadelphia 76ers,109,Orlando Magic,112,H
Detroit Pistons,96,Brooklyn Nets,98,H
Golden State Warriors,112,Dallas Mavericks,87,V
Los Angeles Clippers,133,Los Angeles Lakers,109,V
Phoenix Suns,97,Miami Heat,112,H
San Antonio Spurs,100,Minnesota Timberwolves,93,V
Memphis Grizzlies,82,New Orleans Pelicans,95,H
Milwaukee Bucks,93,Portland Trail Blazers,90,V
Chicago Bulls,120,Toronto Raptors,122,H
Indiana Pacers,100,Boston Celtics,109,H
Detroit Pistons,95,Chicago Bulls,117,H
Cleveland Cavaliers,113,Denver Nuggets,126,H
Philadelphia 76ers,97,Oklahoma City Thunder,122,H
Charlotte Hornets,109,Orlando Magic,102,V
Milwaukee Bucks,116,Sacramento Kings,98,V
New York Knicks,101,Utah Jazz,108,H
Atlanta Hawks,100,Washington Wizards,104,H
Phoenix Suns,98,Brooklyn Nets,126,H
Los Angeles Clippers,95,Dallas Mavericks,97,H
Toronto Raptors,101,Miami Heat,84,V
New York Knicks,95,Portland Trail Blazers,110,H
Memphis Grizzlies,90,San Antonio Spurs,97,H
Phoenix Suns,120,Boston Celtics,130,H
Philadelphia 76ers,117,Chicago Bulls,107,V
Cleveland Cavaliers,112,Charlotte Hornets,105,V
Sacramento Kings,100,Golden State Warriors,114,H
New Orleans Pelicans,107,Houston Rockets,117,H
Denver Nuggets,125,Indiana Pacers,117,V
Minnesota Timberwolves,119,Los Angeles Lakers,130,H
Atlanta Hawks,97,Milwaukee Bucks,100,H
Detroit Pistons,87,Orlando Magic,115,H
Brooklyn Nets,108,Washington Wizards,129,H
Washington Wizards,127,Cleveland Cavaliers,115,V
Toronto Raptors,94,Dallas Mavericks,86,V
Utah Jazz,95,Los Angeles Clippers,108,H
Minnesota Timberwolves,100,Portland Trail Blazers,112,H
New York Knicks,98,San Antonio Spurs,106,H
Brooklyn Nets,107,Atlanta Hawks,92,V
Miami Heat,108,Boston Celtics,112,H
Phoenix Suns,106,Charlotte Hornets,120,H
New Orleans Pelicans,115,Denver Nuggets,90,V
Memphis Grizzlies,94,Golden State Warriors,106,H
Oklahoma City Thunder,125,Houston Rockets,137,H
Philadelphia 76ers,94,Indiana Pacers,107,H
Sacramento Kings,98,Los Angeles Clippers,97,V
Portland Trail Blazers,97,Los Angeles Lakers,81,V
Chicago Bulls,109,Milwaukee Bucks,94,V
Oklahoma City Thunder,92,Dallas Mavericks,91,V
Detroit Pistons,95,New York Knicks,109,H
Memphis Grizzlies,90,Sacramento Kings,91,H
Cleveland Cavaliers,74,San Antonio Spurs,103,H
Orlando Magic,112,Toronto Raptors,131,H
New Orleans Pelicans,100,Utah Jazz,108,H
Phoenix Suns,91,Atlanta Hawks,95,H
Philadelphia 76ers,106,Brooklyn Nets,101,V
Milwaukee Bucks,118,Charlotte Hornets,108,V
